Prefix (*deleted),ÿCountry Name,ÿContinent,ÿITU Zone,ÿCQ Zone,ÿTime Zone (hrs. from UTC),ÿLatitude,ÿLongitude,ÿITU Prefix Allocations,ÿOther Amateur Prefixes
ÿÿ,ÿ(ICAO),ÿ,ÿ,ÿ,ÿ,ÿ,ÿ,ÿ4Y,ÿ
ÿÿ,ÿ(WMO),ÿ,ÿ,ÿ,ÿ,ÿ,ÿ,ÿC7,ÿ
ÿ1A,ÿSMO Malta,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ42N,ÿ13E,ÿ1A,ÿ
ÿ1M*,ÿMinerva Reef,ÿOc,ÿ62,ÿ32,ÿ-12,ÿ24S,ÿ179W,ÿ,ÿ
ÿ1S,ÿSpratly Is,ÿAs,ÿ50,ÿ26,ÿ+7,ÿ9N,ÿ112E,ÿ1S,"ÿ9M0,XV9"
ÿ3A,ÿMonaco,ÿEu,ÿ27,ÿ14,ÿ+1,ÿ44N,ÿ8E,ÿ3A,ÿ
ÿ3B6,ÿAgalega & St Brandon,ÿAf,ÿ53,ÿ39,ÿ+4,ÿ10S,ÿ57E,ÿ,ÿ3B7
ÿ3B8,ÿMauritius,ÿAf,ÿ53,ÿ39,ÿ+4,ÿ20S,ÿ58E,ÿ3B,ÿ
ÿ3B9,ÿRodriguez Is,ÿAf,ÿ53,ÿ39,ÿ+4,ÿ20S,ÿ63E,ÿ,ÿ
ÿ3C,ÿEquatorial Guinea,ÿAf,ÿ47,ÿ36,ÿ-1,ÿ4N,ÿ9E,ÿ3C,ÿ
ÿ3C0,ÿAnnobon Is,ÿAf,ÿ52,ÿ36,ÿ-1,ÿ1S,ÿ6E,ÿ,ÿ
ÿ3D2,ÿConway Reef,ÿOc,ÿ56,ÿ32,ÿ+12,ÿ22S,ÿ175E,ÿ,ÿ
ÿ3D2,ÿFiji,ÿOc,ÿ56,ÿ32,ÿ+12,ÿ18S,ÿ178E,ÿ3DN-3DZ,ÿ
ÿ3D2,ÿRotuma,ÿOc,ÿ56,ÿ32,ÿ+12,ÿ13S,ÿ177E,ÿ,ÿ
ÿ3DA,ÿSwaziland,ÿAf,ÿ57,ÿ38,ÿ+2,ÿ26S,ÿ31E,ÿ3DA-3DM,ÿ3D6
ÿ3V,ÿTunisia,ÿAf,ÿ37,ÿ33,ÿ+1,ÿ37N,ÿ10E,"ÿ3V,TS",ÿ
ÿ3W,ÿVietnam,ÿAs,ÿ49,ÿ26,ÿ+7,ÿ11N,ÿ107E,"ÿ3W,XV",ÿ
ÿ3X,ÿGuinea,ÿAf,ÿ46,ÿ35,ÿ+0,ÿ10N,ÿ14W,ÿ3X,ÿ
ÿ3Y,ÿBouvet,ÿAf,ÿ67,ÿ38,ÿ+0,ÿ54S,ÿ3E,ÿ,ÿ
ÿ3Y,ÿPeter I,ÿAn,ÿ72,ÿ12,ÿ-6,ÿ69S,ÿ91W,ÿ,ÿ
ÿ4J,ÿAzerbaijan,ÿAs,ÿ29,ÿ21,ÿ+4,ÿ40N,ÿ50E,ÿ4J-4K,ÿUD
ÿ4L,ÿGeorgia,ÿAs,ÿ29,ÿ21,ÿ+4,ÿ42N,ÿ45E,ÿ4L,ÿUF
ÿ4O,ÿMontenegro,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ42N,ÿ19E,ÿ4O,"ÿYU3,YU6,.."
ÿ4S,ÿSri Lanka,ÿAs,ÿ41,ÿ22,ÿ+5.5,ÿ7N,ÿ80E,ÿ4P-4S,ÿ
ÿ4U,ÿITU Geneva,ÿEu,ÿ28,ÿ14,ÿ+1,ÿ46N,ÿ6E,ÿ,ÿ
ÿ4U,ÿUN HQ,ÿNA,ÿ08,ÿ05,ÿ-5,ÿ41N,ÿ74W,ÿ4U,ÿ
ÿ4W,ÿTimor Leste,ÿOc,ÿ54,ÿ28,ÿ+8,ÿ9S,ÿ126E,ÿ4W,ÿ
ÿ4W*,ÿYemen Arab Rep,ÿAs,ÿ39,ÿ21,ÿ+3,ÿ15N,ÿ44E,ÿ,ÿ
ÿ4X,ÿIsrael,ÿAs,ÿ39,ÿ20,ÿ+2,ÿ32N,ÿ35E,"ÿ4X,4Z",ÿ
ÿ5A,ÿLibya,ÿAf,ÿ38,ÿ34,ÿ+2,ÿ33N,ÿ13E,ÿ5A,ÿ
ÿ5B,ÿCyprus,ÿAs,ÿ39,ÿ20,ÿ+3,ÿ35N,ÿ33E,"ÿ5B,C4,H2,P3",ÿ
ÿ5H,ÿTanzania,ÿAf,ÿ53,ÿ37,ÿ+3,ÿ7S,ÿ39E,ÿ5H-5I,ÿ
ÿ5N,ÿNigeria,ÿAf,ÿ46,ÿ35,ÿ+1,ÿ6N,ÿ3E,ÿ5N-5O,ÿ
ÿ5R,ÿMadagascar,ÿAf,ÿ53,ÿ39,ÿ+3,ÿ19S,ÿ48E,"ÿ5R-5S,6X",ÿ
ÿ5T,ÿMauritania,ÿAf,ÿ46,ÿ35,ÿ-1,ÿ18N,ÿ16W,ÿ5T,ÿ
ÿ5U,ÿNiger,ÿAf,ÿ46,ÿ35,ÿ+1,ÿ14N,ÿ2W,ÿ5U,ÿ
ÿ5V,ÿTogo,ÿAf,ÿ46,ÿ35,ÿ+0,ÿ6N,ÿ1E,ÿ5V,ÿ
ÿ5W,ÿSamoa,ÿOc,ÿ62,ÿ32,ÿ-11,ÿ14S,ÿ172W,ÿ5W,ÿ
ÿ5X,ÿUganda,ÿAf,ÿ48,ÿ37,ÿ+3,ÿ0N,ÿ33E,ÿ5X,ÿ
ÿ5Z,ÿKenya,ÿAf,ÿ48,ÿ37,ÿ+3,ÿ2S,ÿ37E,ÿ5Y-5Z,ÿ
ÿ6W,ÿSenegal,ÿAf,ÿ46,ÿ35,ÿ+0,ÿ15N,ÿ18W,ÿ6V-6W,ÿ
ÿ6Y,ÿJamaica,ÿNA,ÿ11,ÿ08,ÿ-5,ÿ18N,ÿ77W,ÿ6Y,ÿ
ÿ7O,ÿYemen,ÿAs,ÿ39,ÿ21,ÿ+3,ÿ13N,ÿ45E,ÿ7O,ÿ
ÿ7O*,ÿPDR Yemen,ÿAs,ÿ39,ÿ21,ÿ+3,ÿ13N,ÿ45E,ÿ,"ÿVS9A,VS9P,VS9S"
ÿ7P,ÿLesotho,ÿAf,ÿ57,ÿ38,ÿ+2,ÿ29S,ÿ27E,ÿ7P,ÿ
ÿ7Q,ÿMalawi,ÿAf,ÿ53,ÿ37,ÿ+2,ÿ14S,ÿ34E,ÿ7Q,ÿ
ÿ7X,ÿAlgeria,ÿAf,ÿ37,ÿ33,ÿ+0,ÿ37N,ÿ3E,"ÿ7R,7T-7Y",ÿ
ÿ8P,ÿBarbados,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ13N,ÿ60W,ÿ8P,ÿ
ÿ8Q,ÿMaldives,"ÿAs,Af",ÿ41,ÿ22,ÿ+5,ÿ4N,ÿ73E,ÿ8Q,ÿ
ÿ8R,ÿGuyana,ÿSA,ÿ12,ÿ09,ÿ-3.75,ÿ6N,ÿ58W,ÿ8R,ÿ
ÿ8Z4*,ÿS Arabia/Iraq NZ,ÿAs,ÿ39,ÿ21,ÿ+3,ÿ29N,ÿ46E,ÿ,ÿ
