Prefix (*deleted),ÿCountry Name,ÿContinent,ÿITU Zone,ÿCQ Zone,ÿTime Zone (hrs. from UTC),ÿLatitude,ÿLongitude,ÿITU Prefix Allocations,ÿOther Amateur Prefixes
ÿZL,ÿNew Zealand,ÿOc,ÿ60,ÿ32,ÿ+12,ÿ41S,ÿ175E,ÿZK-ZM,ÿ
ÿZL7,ÿChatham Is,ÿOc,ÿ60,ÿ32,ÿ+12.75,ÿ44S,ÿ177W,ÿ,ÿ
ÿZL8,ÿKermadec Is,ÿOc,ÿ60,ÿ32,ÿ+12,ÿ29S,ÿ178W,ÿ,ÿ
ÿZL9,"ÿAuckland, Campbell Is",ÿOc,ÿ60,ÿ32,ÿ+12,ÿ51S,ÿ166E,ÿ,ÿ
ÿZP,ÿParaguay,ÿSA,ÿ14,ÿ11,ÿ-4,ÿ26S,ÿ57W,ÿZP,ÿ
ÿZS,ÿSo Africa,ÿAf,ÿ57,ÿ38,ÿ+2,ÿ26S,ÿ28E,"ÿH5,S4,S8,V9,ZR-ZU",ÿ
ÿZS0*,ÿPenguin Is,ÿAf,ÿ57,ÿ38,ÿ+2,ÿ27S,ÿ15E,ÿ,ÿ
ÿZS8,ÿPr Edward & Marion Is,ÿAf,ÿ57,ÿ38,ÿ+3,ÿ47S,ÿ38E,ÿ,ÿ
ÿZS9*,ÿWalvis Bay,ÿAf,ÿ57,ÿ38,ÿ+2,ÿ23S,ÿ15E,ÿ,ÿ
ÿ*,ÿBlenheim Reef,ÿAf,ÿ41,ÿ39,ÿ+5,ÿ7S,ÿ72E,ÿ,ÿ
ÿ*,ÿGeyser Reef,ÿAf,ÿ53,ÿ39,ÿ+3,ÿ12S,ÿ46E,ÿ,ÿÿ
,,,,,,,,,
